asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd
TRX,2025-11-12 20:00:00+00:00,0.2946,1.0,0.30138571428571426,0.2913428571428571,1338.6697082564633,1.0,0.85,2.08,2025-11-17 20:00:00+00:00,2025-11-17 16:00:00+00:00,0.2913428571428571,sl,-16.540808564796674
ADA,2025-11-14 08:00:00+00:00,0.5132,-1.0,0.46939642857142855,0.5342257142857143,1326.9610977380773,1.0,0.85,2.08,2025-11-19 08:00:00+00:00,2025-11-17 16:00:00+00:00,0.46939642857142855,tp,111.93421432647362
ADA,2025-11-19 04:00:00+00:00,0.4683,-1.0,0.43396071428571426,0.4847828571428571,1350.8094491784966,1.0,0.85,2.08,2025-11-24 04:00:00+00:00,2025-11-20 16:00:00+00:00,0.43396071428571426,tp,97.70072081111904
TRX,2025-11-19 04:00:00+00:00,0.2879,-1.0,0.2802035714285714,0.2915942857142857,1350.8094491784966,1.0,0.85,2.08,2025-11-24 04:00:00+00:00,2025-11-20 16:00:00+00:00,0.2802035714285714,tp,34.76036956858155
ADA,2025-11-20 16:00:00+00:00,0.4359,-1.0,0.3996857142857143,0.45328285714285715,1383.9247217734217,1.0,0.85,2.08,2025-11-25 16:00:00+00:00,2025-11-21 04:00:00+00:00,0.3996857142857143,tp,113.5916322439665
TRX,2025-11-20 16:00:00+00:00,0.2783,-1.0,0.27140714285714285,0.28160857142857143,1383.9247217734217,1.0,0.85,2.08,2025-11-25 16:00:00+00:00,2025-11-25 12:00:00+00:00,0.27140714285714285,tp,32.89273860432258
TRX,2025-11-25 16:00:00+00:00,0.2736,1.0,0.2777607142857143,0.27160285714285715,1420.5458144854938,1.0,0.85,2.08,2025-11-30 16:00:00+00:00,2025-11-27 08:00:00+00:00,0.2777607142857143,tp,20.182105003648434
ADA,2025-11-22 16:00:00+00:00,0.4014,1.0,0.44502499999999995,0.38045999999999996,1412.3226298344132,1.0,0.85,2.08,2025-11-27 16:00:00+00:00,2025-11-27 16:00:00+00:00,0.436,time,120.32749548743196
ADA,2025-11-28 12:00:00+00:00,0.4326,1.0,0.45626071428571424,0.42124285714285714,1455.673214608264,1.0,0.85,2.08,2025-12-03 12:00:00+00:00,2025-11-28 20:00:00+00:00,0.42124285714285714,sl,-40.108483943721225
TRX,2025-11-28 12:00:00+00:00,0.2804,-1.0,0.27704285714285715,0.2820114285714285,1455.673214608264,1.0,0.85,2.08,2025-12-03 12:00:00+00:00,2025-11-30 12:00:00+00:00,0.2820114285714285,sl,-10.257972214236776
ADA,2025-11-29 04:00:00+00:00,0.4154,-1.0,0.3941857142857143,0.42558285714285715,1445.6460936223339,1.0,0.85,2.08,2025-12-04 04:00:00+00:00,2025-12-01 00:00:00+00:00,0.3941857142857143,tp,72.38283072834489
ADA,2025-12-01 08:00:00+00:00,0.3827,-1.0,0.3609142857142857,0.39315714285714287,1461.177308250861,1.0,0.85,2.08,2025-12-06 08:00:00+00:00,2025-12-02 08:00:00+00:00,0.39315714285714287,sl,-41.8256863721522
TRX,2025-12-01 08:00:00+00:00,0.2775,1.0,0.28150000000000003,0.27558000000000005,1461.177308250861,1.0,0.85,2.08,2025-12-06 08:00:00+00:00,2025-12-02 12:00:00+00:00,0.28150000000000003,tp,19.60083794581562
TRX,2025-12-05 12:00:00+00:00,0.2864,1.0,0.29113214285714284,0.2841285714285714,1455.6210961442766,1.0,0.85,2.08,2025-12-10 12:00:00+00:00,2025-12-08 16:00:00+00:00,0.2841285714285714,sl,-13.436788385030557
ADA,2025-12-05 12:00:00+00:00,0.4262,-1.0,0.3998607142857143,0.4388428571428572,1455.6210961442766,1.0,0.85,2.08,2025-12-10 12:00:00+00:00,2025-12-09 12:00:00+00:00,0.4388428571428572,sl,-45.0720577128366
ADA,2025-12-10 04:00:00+00:00,0.4614,-1.0,0.42891785714285713,0.47699142857142857,1440.9938846198097,1.0,0.85,2.08,2025-12-15 04:00:00+00:00,2025-12-11 04:00:00+00:00,0.42891785714285713,tp,100.00367281778564
TRX,2025-12-10 04:00:00+00:00,0.2804,-1.0,0.27650714285714284,0.2822685714285714,1440.9938846198097,1.0,0.85,2.08,2025-12-15 04:00:00+00:00,2025-12-12 12:00:00+00:00,0.27650714285714284,tp,18.564652822069515
TRX,2025-12-12 20:00:00+00:00,0.2737,-1.0,0.26905714285714283,0.2759285714285714,1470.6359660297735,1.0,0.85,2.08,2025-12-17 20:00:00+00:00,2025-12-14 16:00:00+00:00,0.2759285714285714,sl,-13.886314500535354
ADA,2025-12-12 20:00:00+00:00,0.4091,-1.0,0.3777607142857143,0.42414285714285715,1470.6359660297735,1.0,0.85,2.08,2025-12-17 20:00:00+00:00,2025-12-15 16:00:00+00:00,0.3777607142857143,tp,111.18808004744294
ADA,2025-12-16 00:00:00+00:00,0.3828,-1.0,0.36028214285714283,0.3936085714285714,1494.9614074165004,1.0,0.85,2.08,2025-12-21 00:00:00+00:00,2025-12-18 16:00:00+00:00,0.36028214285714283,tp,86.44476535927475
TRX,2025-12-15 12:00:00+00:00,0.2806,-1.0,0.27585000000000004,0.28288,1467.1643874046397,1.0,0.85,2.08,2025-12-20 12:00:00+00:00,2025-12-20 12:00:00+00:00,0.28,time,1.6700367260763593
TRX,2025-12-21 12:00:00+00:00,0.2867,1.0,0.290325,0.28496,1516.9901079378383,1.0,0.85,2.08,2025-12-26 12:00:00+00:00,2025-12-22 12:00:00+00:00,0.28496,sl,-11.178793759823439
ADA,2025-12-20 00:00:00+00:00,0.3743,-1.0,0.34947857142857147,0.38621428571428573,1516.5725987563192,1.0,0.85,2.08,2025-12-25 00:00:00+00:00,2025-12-25 00:00:00+00:00,0.3605,time,54.397672292606906
TRX,2025-12-24 16:00:00+00:00,0.2813,-1.0,0.27749642857142853,0.28312571428571426,1514.1954094978823,1.0,0.85,2.08,2025-12-29 16:00:00+00:00,2025-12-25 16:00:00+00:00,0.27749642857142853,tp,18.959855059183983
ADA,2025-12-25 04:00:00+00:00,0.359,-1.0,0.34260714285714283,0.36686857142857143,1527.7948275710341,1.0,0.85,2.08,2025-12-30 04:00:00+00:00,2025-12-25 20:00:00+00:00,0.34260714285714283,tp,68.23522008041793
ADA,2025-12-25 20:00:00+00:00,0.3434,-1.0,0.32439999999999997,0.35252,1549.5935963559346,1.0,0.85,2.08,2025-12-30 20:00:00+00:00,2025-12-26 00:00:00+00:00,0.35252,sl,-43.168500792228784
TRX,2025-12-25 20:00:00+00:00,0.2787,-1.0,0.2748607142857143,0.28054285714285715,1549.5935963559346,1.0,0.85,2.08,2025-12-30 20:00:00+00:00,2025-12-27 16:00:00+00:00,0.28054285714285715,sl,-12.260900191840495
ADA,2025-12-27 00:00:00+00:00,0.3547,1.0,0.37573571428571434,0.34460285714285716,1538.8014711578774,1.0,0.85,2.08,2026-01-01 00:00:00+00:00,2025-12-28 04:00:00+00:00,0.37573571428571434,tp,89.72082099772844
TRX,2025-12-29 12:00:00+00:00,0.2822,-1.0,0.2786464285714286,0.2839057142857143,1558.1664513593494,1.0,0.85,2.08,2026-01-03 12:00:00+00:00,2025-12-29 20:00:00+00:00,0.2839057142857143,sl,-11.443712685861465
ADA,2025-12-29 12:00:00+00:00,0.3656,-1.0,0.3465464285714286,0.37474571428571424,1558.1664513593494,1.0,0.85,2.08,2026-01-03 12:00:00+00:00,2025-12-31 12:00:00+00:00,0.3465464285714286,tp,79.6470736432221
ADA,2026-01-01 08:00:00+00:00,0.3407,1.0,0.3548607142857143,0.33390285714285717,1575.2172915986896,1.0,0.85,2.08,2026-01-06 08:00:00+00:00,2026-01-01 16:00:00+00:00,0.3548607142857143,tp,63.896464552386504
TRX,2026-01-01 08:00:00+00:00,0.2847,-1.0,0.28145000000000003,0.28626,1575.2172915986896,1.0,0.85,2.08,2026-01-06 08:00:00+00:00,2026-01-01 20:00:00+00:00,0.28626,sl,-10.679110104276628
ADA,2026-01-03 16:00:00+00:00,0.3886,1.0,0.41543928571428573,0.37571714285714286,1588.5216302107171,1.0,0.85,2.08,2026-01-08 16:00:00+00:00,2026-01-05 16:00:00+00:00,0.41543928571428573,tp,108.12528664706252
TRX,2026-01-03 16:00:00+00:00,0.2936,1.0,0.2975642857142857,0.2916971428571429,1588.5216302107171,1.0,0.85,2.08,2026-01-08 16:00:00+00:00,2026-01-07 16:00:00+00:00,0.2975642857142857,tp,19.86023043204464
ADA,2026-01-06 12:00:00+00:00,0.4202,-1.0,0.3924321428571429,0.43352857142857143,1615.5529518724827,1.0,0.85,2.08,2026-01-11 12:00:00+00:00,2026-01-08 04:00:00+00:00,0.3924321428571429,tp,105.14418901461067
TRX,2026-01-08 00:00:00+00:00,0.2979,-1.0,0.294025,0.29976,1620.518009480494,1.0,0.85,2.08,2026-01-13 00:00:00+00:00,2026-01-09 00:00:00+00:00,0.294025,tp,19.458727666037937
TRX,2026-01-09 16:00:00+00:00,0.2982,1.0,0.3027,0.29604,1651.668738650656,1.0,0.85,2.08,2026-01-14 16:00:00+00:00,2026-01-11 00:00:00+00:00,0.3027,tp,23.272909812415598
ADA,2026-01-09 16:00:00+00:00,0.3902,-1.0,0.364575,0.40249999999999997,1651.668738650656,1.0,0.85,2.08,2026-01-14 16:00:00+00:00,2026-01-13 12:00:00+00:00,0.40249999999999997,sl,-54.21156066061241
TRX,2026-01-12 12:00:00+00:00,0.2987,1.0,0.3039678571428572,0.2961714285714286,1657.4869661037599,1.0,0.85,2.08,2026-01-17 12:00:00+00:00,2026-01-13 16:00:00+00:00,0.3039678571428572,tp,27.57386406698071
TRX,2026-01-14 04:00:00+00:00,0.3032,-1.0,0.2976464285714286,0.3058657142857143,1650.827541955352,1.0,0.85,2.08,2026-01-19 04:00:00+00:00,2026-01-15 04:00:00+00:00,0.3058657142857143,sl,-16.660042037526644
ADA,2026-01-14 04:00:00+00:00,0.4238,-1.0,0.3974964285714286,0.4364257142857143,1650.827541955352,1.0,0.85,2.08,2026-01-19 04:00:00+00:00,2026-01-15 12:00:00+00:00,0.3974964285714286,tp,100.80943712551891
POL,2026-01-17 10:00:00+00:00,0.1485,1.0,0.15257142857142858,0.14654571428571428,1671.86489072735,1.0,0.85,2.08,2026-01-22 10:00:00+00:00,2026-01-17 12:00:00+00:00,0.14654571428571428,sl,-24.175455820331457
TRX,2026-01-15 12:00:00+00:00,0.3082,1.0,0.31598571428571426,0.3044628571428571,1671.86489072735,1.0,0.85,2.08,2026-01-20 12:00:00+00:00,2026-01-17 16:00:00+00:00,0.31598571428571426,tp,40.56260092212172
ATOM,2026-01-17 10:00:00+00:00,2.566,1.0,2.62475,2.5378,1671.86489072735,1.0,0.85,2.08,2026-01-22 10:00:00+00:00,2026-01-18 03:00:00+00:00,2.5378,sl,-20.54699798168339
POL,2026-01-17 13:00:00+00:00,0.1462,-1.0,0.14198571428571427,0.14822285714285713,1665.8210267722673,1.0,0.85,2.08,2026-01-22 13:00:00+00:00,2026-01-18 09:00:00+00:00,0.14198571428571427,tp,46.352275797325866
FIL,2026-01-18 07:00:00+00:00,1.529,1.0,1.5688214285714286,1.5098857142857143,1670.8249275073767,1.0,0.85,2.08,2026-01-23 07:00:00+00:00,2026-01-18 14:00:00+00:00,1.5098857142857143,sl,-23.059335350773715
ATOM,2026-01-18 07:00:00+00:00,2.512,-1.0,2.4621785714285713,2.5359142857142856,1670.8249275073767,1.0,0.85,2.08,2026-01-23 07:00:00+00:00,2026-01-18 23:00:00+00:00,2.4621785714285713,tp,31.467266147799663
ADA,2026-01-15 12:00:00+00:00,0.3997,-1.0,0.3724857142857143,0.41276285714285715,1671.86489072735,1.0,0.85,2.08,2026-01-20 12:00:00+00:00,2026-01-19 00:00:00+00:00,0.3724857142857143,tp,112.16003106107932
TRX,2026-01-18 20:00:00+00:00,0.3178,-1.0,0.3102642857142857,0.3214171428571429,1676.6481626190148,1.0,0.85,2.08,2026-01-23 20:00:00+00:00,2026-01-19 12:00:00+00:00,0.3102642857142857,tp,38.080247718956706
ATOM,2026-01-20 01:00:00+00:00,2.437,-1.0,2.3698571428571427,2.4692285714285713,1722.0750488509736,1.0,0.85,2.08,2026-01-25 01:00:00+00:00,2026-01-20 02:00:00+00:00,2.4692285714285713,sl,-25.012607582896646
POL,2026-01-20 01:00:00+00:00,0.1365,1.0,0.14001785714285714,0.13481142857142858,1722.0750488509736,1.0,0.85,2.08,2026-01-25 01:00:00+00:00,2026-01-20 06:00:00+00:00,0.13481142857142858,sl,-23.541603976293814
FIL,2026-01-20 01:00:00+00:00,1.38,1.0,1.4191071428571427,1.3612285714285715,1722.0750488509736,1.0,0.85,2.08,2026-01-25 01:00:00+00:00,2026-01-20 06:00:00+00:00,1.3612285714285715,sl,-25.663196675205686
ATOM,2026-01-21 07:00:00+00:00,2.394,1.0,2.4915000000000003,2.3472,1703.5206967923746,1.0,0.85,2.08,2026-01-26 07:00:00+00:00,2026-01-21 13:00:00+00:00,2.3472,sl,-35.51648526417738
POL,2026-01-21 07:00:00+00:00,0.1321,-1.0,0.12835,0.1339,1703.5206967923746,1.0,0.85,2.08,2026-01-26 07:00:00+00:00,2026-01-21 14:00:00+00:00,0.1339,sl,-25.426819557050887
TRX,2026-01-20 16:00:00+00:00,0.2978,-1.0,0.2876392857142857,0.30267714285714287,1703.5206967923746,1.0,0.85,2.08,2026-01-25 16:00:00+00:00,2026-01-22 16:00:00+00:00,0.30267714285714287,sl,-30.11354869345921
FIL,2026-01-23 05:00:00+00:00,1.357,-1.0,1.3196785714285713,1.3749142857142858,1680.7564834137027,1.0,0.85,2.08,2026-01-28 05:00:00+00:00,2026-01-23 11:00:00+00:00,1.3196785714285713,tp,44.544912670374245
POL,2026-01-22 07:00:00+00:00,0.1344,-1.0,0.12913214285714286,0.13692857142857143,1688.2848705870674,1.0,0.85,2.08,2026-01-27 07:00:00+00:00,2026-01-23 14:00:00+00:00,0.12913214285714286,tp,64.4846579471191
POL,2026-01-23 15:00:00+00:00,0.1299,1.0,0.13377499999999998,0.12804,1708.0138760680761,1.0,0.85,2.08,2026-01-28 15:00:00+00:00,2026-01-23 20:00:00+00:00,0.12804,sl,-26.676967765498375
ADA,2026-01-19 00:00:00+00:00,0.3656,-1.0,0.3434392857142857,0.3762371428571428,1712.5549869212346,1.0,0.85,2.08,2026-01-24 00:00:00+00:00,2026-01-24 00:00:00+00:00,0.3618,time,16.08752419880262
ATOM,2026-01-22 07:00:00+00:00,2.378,-1.0,2.292821428571429,2.4188857142857145,1688.2848705870674,1.0,0.85,2.08,2026-01-27 07:00:00+00:00,2026-01-25 04:00:00+00:00,2.292821428571429,tp,58.78509336367552
ATOM,2026-01-25 05:00:00+00:00,2.307,1.0,2.3450357142857143,2.288742857142857,1720.062788517321,1.0,0.85,2.08,2026-01-30 05:00:00+00:00,2026-01-25 08:00:00+00:00,2.288742857142857,sl,-15.848319186067773
FIL,2026-01-23 11:00:00+00:00,1.317,-1.0,1.2771785714285713,1.3361142857142856,1691.8927115812962,1.0,0.85,2.08,2026-01-28 11:00:00+00:00,2026-01-25 12:00:00+00:00,1.2771785714285713,tp,49.464967398331666
POL,2026-01-23 21:00:00+00:00,0.1275,-1.0,0.12310714285714287,0.12960857142857143,1701.3446341267015,1.0,0.85,2.08,2026-01-28 21:00:00+00:00,2026-01-25 12:00:00+00:00,0.12310714285714287,tp,56.91641166771745
DOT,2026-01-24 00:00:00+00:00,1.926,-1.0,1.8624285714285713,1.9565142857142857,1705.3665151764021,1.0,0.85,2.08,2026-01-29 00:00:00+00:00,2026-01-25 16:00:00+00:00,1.8624285714285713,tp,54.5836187432051
APT,2026-01-25 15:00:00+00:00,1.535,-1.0,1.4878571428571428,1.5576285714285714,1742.6960534873162,1.0,0.85,2.08,2026-01-30 15:00:00+00:00,2026-01-25 16:00:00+00:00,1.4878571428571428,tp,51.778913779068716
