asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
ICP,2025-12-20 21:00:00+00:00,3.255,-1.0,3.1015714285714284,3.3317142857142854,3200.4125750668395,3.0,0.9215807914733887,2.0,2025-12-25 21:00:00+00:00,2025-12-20 22:00:00+00:00,3.3317142857142854,sl,-79.58829815627192,1
ICP,2025-12-20 22:00:00+00:00,3.442,-1.0,3.241,3.5425,3155.644157353937,3.0,0.9311191439628601,2.0,2025-12-25 22:00:00+00:00,2025-12-21 02:00:00+00:00,3.241,tp,181.12223952310552,1
APT,2025-12-25 02:00:00+00:00,1.656,-1.0,1.5999285714285714,1.6829142857142856,1447.7890742603038,1.0,0.8296278119087219,2.08,2025-12-30 02:00:00+00:00,2025-12-25 23:00:00+00:00,1.5999285714285714,tp,47.57370951503999,1
ATOM,2025-12-26 02:00:00+00:00,2.038,-1.0,1.9878214285714284,2.0620857142857143,4379.047504917191,3.0,0.9289707541465759,2.08,2025-12-31 02:00:00+00:00,2025-12-27 21:00:00+00:00,2.0620857142857143,sl,-57.44569946346123,1
FIL,2025-12-27 22:00:00+00:00,1.31,-1.0,1.2717857142857143,1.3283428571428573,4335.963230319596,3.0,0.9586740732192993,2.08,2026-01-01 22:00:00+00:00,2025-12-28 06:00:00+00:00,1.3283428571428573,sl,-66.3496942684491,1
FIL,2025-12-28 07:00:00+00:00,1.367,-1.0,1.3148571428571427,1.3920285714285714,1428.7336532060863,1.0,0.8322809338569641,2.08,2026-01-02 07:00:00+00:00,2025-12-28 21:00:00+00:00,1.3148571428571427,tp,53.06889237043512,1
UNI,2025-12-31 20:00:00+00:00,5.64,-1.0,5.380535714285714,5.764542857142857,4326.002628896085,3.0,0.9295623898506165,2.08,2026-01-05 20:00:00+00:00,2026-01-01 16:00:00+00:00,5.764542857142857,sl,-101.15088274561974,1
ATOM,2026-01-01 15:00:00+00:00,2.011,-1.0,1.9795714285714288,2.0260857142857143,2884.00175259739,2.0,0.8633869290351868,2.08,2026-01-06 15:00:00+00:00,2026-01-01 18:00:00+00:00,2.0260857142857143,sl,-25.38382507259992,1
DOT,2026-01-01 19:00:00+00:00,2.002,1.0,2.0618214285714282,1.973285714285714,2820.7343986882797,2.0,0.8540111184120178,2.08,2026-01-06 19:00:00+00:00,2026-01-02 17:00:00+00:00,2.0618214285714282,tp,81.46516038158255,1
POL,2026-01-03 02:00:00+00:00,0.1149,-1.0,0.11132857142857143,0.11661428571428571,4292.200468318607,3.0,0.9374468326568604,2.08,2026-01-08 02:00:00+00:00,2026-01-03 08:00:00+00:00,0.11132857142857143,tp,129.12196303779257,1
POL,2026-01-04 03:00:00+00:00,0.1181,-1.0,0.11549285714285713,0.11935142857142857,1463.0139801989837,1.0,0.8267898559570312,2.08,2026-01-09 03:00:00+00:00,2026-01-04 09:00:00+00:00,0.11935142857142857,sl,-17.40452185944446,1
ARB,2026-01-03 00:00:00+00:00,0.2114,-1.0,0.20031071428571431,0.21672285714285713,2861.466978879071,2.0,0.9042624831199646,2.08,2026-01-08 00:00:00+00:00,2026-01-05 00:00:00+00:00,0.21672285714285713,sl,-75.76900805445516,1
LINK,2026-01-05 00:00:00+00:00,13.67,-1.0,13.137857142857143,13.925428571428572,4319.1617931615265,3.0,0.9437186121940613,2.08,2026-01-10 00:00:00+00:00,2026-01-06 12:00:00+00:00,13.925428571428572,sl,-86.31990861904846,1
ATOM,2026-01-06 11:00:00+00:00,2.423,-1.0,2.364964285714286,2.4508571428571426,1439.7205977205087,1.0,0.8423827290534973,2.08,2026-01-11 11:00:00+00:00,2026-01-06 12:00:00+00:00,2.4508571428571426,sl,-18.42405211548937,1
ATOM,2026-01-06 12:00:00+00:00,2.461,-1.0,2.40225,2.4892,2827.069215073748,2.0,0.9118620157241821,2.08,2026-01-11 12:00:00+00:00,2026-01-06 14:00:00+00:00,2.4892,sl,-36.069888014979746,1
POL,2026-01-06 13:00:00+00:00,0.1285,-1.0,0.12564285714285714,0.12987142857142858,4240.603822610622,3.0,0.9483920335769653,2.08,2026-01-11 13:00:00+00:00,2026-01-06 14:00:00+00:00,0.12987142857142858,sl,-50.77103588330398,1
DOT,2026-01-09 08:00:00+00:00,2.073,-1.0,2.01675,2.1,1391.8243765623033,1.0,0.8424138426780701,2.08,2026-01-14 08:00:00+00:00,2026-01-09 15:00:00+00:00,2.1,sl,-19.937330284409132,1
FIL,2026-01-11 22:00:00+00:00,1.446,-1.0,1.3985,1.4687999999999999,2773.6800879824023,2.0,0.8891663551330566,2.08,2026-01-16 22:00:00+00:00,2026-01-12 01:00:00+00:00,1.4687999999999999,sl,-47.34015894563479,1
POL,2026-01-12 06:00:00+00:00,0.1526,-1.0,0.14424285714285714,0.1566114285714286,2750.010008509585,2.0,0.9141559600830078,2.08,2026-01-17 06:00:00+00:00,2026-01-12 08:00:00+00:00,0.1566114285714286,sl,-75.86510947141572,1
APT,2026-01-13 13:00:00+00:00,1.849,-1.0,1.804892857142857,1.8701714285714286,2712.077453773877,2.0,0.8582438230514526,2.08,2026-01-18 13:00:00+00:00,2026-01-13 14:00:00+00:00,1.8701714285714286,sl,-34.57954281686961,1
ICP,2026-01-13 12:00:00+00:00,3.434,-1.0,3.2825000000000006,3.50975,2034.0580903304078,2.0,0.8640740513801575,2.0,2026-01-18 12:00:00+00:00,2026-01-13 15:00:00+00:00,3.50975,sl,-47.513203980600146,1
